---,Word,Mature
406,affable,0
407,affair,0
408,affaires,0
409,affairs,0
410,affect,0
411,affected,0
412,affecting,0
413,affection,0
414,affective,0
415,affects,0
416,affidavit,0
417,affiliate,0
418,affinity,0
419,affirm,0
420,affirmed,0
421,affirming,0
422,affirms,0
423,affix,0
424,affixed,0
425,afflicted,0
426,affluence,0
427,affluent,0
428,afford,0
429,afforded,0
430,affording,0
431,affords,0
432,affront,0
433,afghan,0
434,afghans,0
435,afield,0
436,afloat,0
437,afoot,0
438,aforesaid,0
439,afoul,0
440,afraid,0
441,afresh,0
442,afro,0
443,aft,0
444,after,0
445,aftercare,0
446,afterglow,0
447,afterlife,0
448,aftermath,0
449,afternoon,0
450,afterward,0
451,aga,0
452,again,0
453,against,0
454,agape,0
455,agar,0
456,agate,0
457,agave,0
458,age,0
459,aged,0
460,ageing,0
461,ageless,0
462,agencies,0
463,agency,0
464,agenda,0
465,agendas,0
466,agent,0
467,agents,0
468,ages,0
469,aggie,0
470,aggies,0
471,aggravate,0
472,aggregate,0
473,aggressor,0
474,aggrieved,0
475,agha,0
476,aghast,0
477,agile,0
478,agility,0
479,aging,0
480,agitate,0
481,agitated,0
482,agitating,0
483,agitation,0
484,agitator,0
485,agitators,0
486,agnostic,0
487,ago,0
488,agonist,0
489,agonists,0
490,agonizing,0
491,agony,0
492,agora,0
493,agrarian,0
494,agree,0
495,agreeable,0
496,agreed,0
497,agreeing,0
498,agreement,0
499,agrees,0
500,aground,0
501,ags,0
502,aha,0
503,ahead,0
504,ahem,0
505,ahold,0
506,ahoy,0
507,ahs,0
508,aia,0
509,aid,0
510,aida,0
511,aide,0
512,aided,0
513,aides,0
514,aiding,0
515,aids,0
516,aight,0
517,aikido,0
518,ailing,0
519,ailment,0
520,ailments,0
521,aim,0
522,aimed,0
523,aiming,0
524,aimless,0
525,aimlessly,0
526,aims,0
527,ain,0
528,air,0
529,airbag,0
530,airbags,0
531,airbase,0
532,airborne,0
533,airbrush,0
534,airbus,0
535,aircraft,0
536,aircrew,0
537,airdrop,0
538,aired,0
539,airfare,0
540,airfield,0
541,airfields,0
542,airflow,0
543,airframe,0
544,airing,0
545,airlift,0
546,airlifted,0
547,airline,0
548,airliner,0
549,airliners,0
550,airlines,0
551,airlock,0
552,airmail,0
553,airman,0
554,airmen,0
555,airplane,0
556,airplanes,0
557,airplay,0
558,airport,0
559,airports,0
560,airs,0
561,airship,0
562,airships,0
563,airshow,0
564,airspace,0
565,airspeed,0
566,airstrike,0
567,airstrip,0
568,airtight,0
569,airtime,0
570,airwaves,0
571,airway,0
572,airways,0
573,airy,0
574,ais,0
575,aisle,0
576,aisles,0
577,ait,0
578,ajar,0
579,aka,0
580,ake,0
581,akin,0
582,ala,0
583,alabaster,0
584,alameda,0
585,alamo,0
586,alamos,0
587,alan,0
588,alanine,0
589,alarm,0
590,alarmed,0
591,alarming,0
592,alarmist,0
593,alarms,0
594,alas,0
595,alaska,0
596,alb,0
597,alba,0
598,albatross,0
599,albedo,0
600,albeit,0
601,albert,0
602,albino,0
603,album,0
604,albumin,0
605,albums,0
606,alchemist,0
607,alchemy,0
608,alcohol,0
609,alcoholic,0
610,alcohols,0
611,alcove,0
612,alder,0
613,alderman,0
614,aldermen,0
615,aldrin,0
616,ale,0
617,alec,0
618,alert,0
619,alerted,0
620,alerting,0
621,alertness,0
622,alerts,0
623,ales,0
624,alexander,0
625,alexia,0
626,alf,0
627,alfa,0
628,alfalfa,0
629,alfredo,0
630,algae,0
631,algal,0
632,algebra,0
633,algebraic,0
634,algebras,0
635,algorithm,0
636,alias,0
637,aliases,0
638,alibi,0
639,alien,0
640,alienate,0
641,alienated,0
642,aliens,0
643,alight,0
644,align,0
645,aligned,0
646,aligning,0
647,alignment,0
648,aligns,0
649,alike,0
650,alimony,0
651,aline,0
652,alison,0
653,alive,0
654,alkali,0
655,alkaline,0
656,alkaloids,0
657,alkyl,0
658,all,0
659,allay,0
660,allege,0
661,alleged,0
662,allegedly,0
663,alleges,0
664,alleging,0
665,allegory,0
666,allegro,0
667,allele,0
668,alleles,0
669,allergen,0
670,allergens,0
671,allergic,0
672,allergies,0
673,allergy,0
674,alleviate,0
675,alley,0
676,alleys,0
677,alleyway,0
678,alliance,0
679,alliances,0
680,allied,0
681,allies,0
682,alligator,0
683,allocate,0
684,allocated,0
685,allocates,0
686,allot,0
687,allotment,0
688,allotted,0
689,allow,0
690,allowable,0
691,allowance,0
692,allowed,0
693,allowing,0
694,allows,0
695,alloy,0
696,alloys,0
697,alls,0
698,allude,0
699,alluded,0
700,alludes,0
701,alluding,0
702,allure,0
703,alluring,0
704,allusion,0
705,allusions,0
706,alluvial,0
707,ally,0
708,alma,0
709,almanac,0
710,almighty,0
711,almond,0
712,almonds,0
713,almost,0
714,alms,0
715,aloe,0
716,aloft,0
717,aloha,0
718,alone,0
719,along,0
720,alongside,0
721,aloof,0
722,alopecia,0
723,aloud,0
724,alp,0
725,alpaca,0
726,alpha,0
